"Pokemon","Fast Move","Charged Move","DPS","TDO","ER","CP"
"Shadow Staraptor","Wing Attack","Brave Bird","20.254","442.4","43.79","3232"
"Shadow Mewtwo","Psycho Cut","Focus Blast","20.248","604.4","47.33","4780"
"Primal Groudon","Dragon Tail","Fire Punch","20.245","1059.9","54.46","6752"
"Primal Groudon","Dragon Tail","Solar Beam","20.238","1059.5","54.44","6752"
"Shadow Chandelure","Incinerate","Poltergeist","20.235","448.3","43.9","3739"
"Mega Gardevoir","Charge Beam","Psychic","20.219","720.7","49.4","5162"
"Shadow Alakazam","Counter","Shadow Ball","20.213","391.9","42.41","3498"
"Shadow Charizard","Wing Attack","Blast Burn","20.213","505.3","45.2","3305"
"Shadow Luxray","Spark","Wild Charge","20.202","468.5","44.33","3304"
"Shadow Exeggutor","Confusion","Psychic","20.193","506.1","45.18","3449"
"Shadow Luxray","Snarl","Wild Charge","20.191","468.3","44.31","3304"
"Shadow Magnezone","Spark","Wild Charge","20.189","549.5","46.11","3666"
"Thundurus (Therian Forme)","Volt Switch","Wildbolt Storm","20.189","572.7","46.59","4186"
"Mega Latios","Zen Headbutt","Luster Purge","20.18","840.8","51.27","5729"
"Mega Mewtwo X","Psycho Cut","Ice Beam","20.178","796.1","50.57","6212"
"Mega Latios","Zen Headbutt","Dragon Claw","20.171","840.4","51.25","5729"
"Mega Charizard X","Fire Spin","Blast Burn","20.167","733.8","49.53","4405"
"Calyrex - Shadow Rider","Confusion","Psyshock","20.166","736.1","49.57","5194"
"Mega Salamence","Fire Fang","Outrage","20.151","983.1","53.26","5756"
"Mega Gallade","Low Kick","Synchronoise","20.141","720.9","49.26","5173"
"Mega Latios","Dragon Breath","Solar Beam","20.135","838.9","51.16","5729"
"Mega Alakazam","Counter","Focus Blast","20.125","571.1","46.45","5160"
"Blacephalon","Incinerate","Overheat","20.121","408.8","42.72","3772"
"Shadow Darmanitan","Fire Fang","Focus Blast","20.119","425.8","43.15","3552"
"Mega Gengar","Lick","Focus Blast","20.109","580.8","46.62","4960"
"Shadow Electivire","Low Kick","Wild Charge","20.105","464.1","44.07","3523"
"Mega Gallade","Charm","Psychic","20.101","719.4","49.16","5173"
"Shadow Swampert","Water Gun","Hydro Cannon","20.098","606.3","47.1","3402"
"Mega Gardevoir","Magical Leaf","Synchronoise","20.085","715.9","49.07","5162"
"Mega Charizard Y","Ember","Overheat","20.084","727.5","49.27","5097"
"Mega Gengar","Lick","Sludge Wave","20.084","580.1","46.56","4960"
"Shadow Blaziken","Fire Spin","Overheat","20.077","424.8","43.06","3258"
"Shadow Weavile","Feint Attack","Triple Axel","20.075","462","43.97","3438"
"Mega Absol","Snarl","Return","20.069","411.2","42.7","3776"
"Shadow Banette","Shadow Claw","Shadow Ball","20.064","331.3","40.45","2630"
"Shadow Exeggutor","Extrasensory","Psychic","20.063","502.9","44.89","3449"
"White Kyurem","Dragon Breath","Blizzard","20.056","819.7","50.71","5268"
"Shadow Gengar","Shadow Claw","Psychic","20.049","369.8","41.55","3292"
"Blacephalon","Astonish","Mystical Fire","20.027","406.9","42.52","3772"
"Shadow Alakazam","Psycho Cut","Future Sight","20.019","388.1","42.01","3498"
"Mega Blastoise","Water Gun","Hydro Cannon","20.018","813","50.54","4508"
"Shadow Typhlosion","Incinerate","Blast Burn","20.016","500.4","44.76","3305"
"Primal Groudon","Mud Shot","Fire Blast","20.007","1047.4","53.82","6752"
"Shadow Magnezone","Volt Switch","Wild Charge","20.007","544.5","45.7","3666"
"Mega Pidgeot","Gust","Brave Bird","20.004","633.7","47.46","4210"
"Shadow Blaziken","Counter","Brave Bird","20.003","423.2","42.9","3258"
"Shadow Excadrill","Mud Slap","Iron Head","20.002","489.7","44.49","3711"
"Mega Alakazam","Psycho Cut","Focus Blast","19.994","567.4","46.15","5160"
"Shadow Sceptile","Bullet Seed","Frenzy Plant","19.988","455","43.66","3154"
"Shadow Mewtwo","Psycho Cut","Flamethrower","19.983","596.4","46.71","4780"
"Mega Absol","Snarl","Dark Pulse","19.981","409.4","42.51","3776"
"Shadow Zapdos","Charge Beam","Drill Peck","19.976","586.8","46.51","4035"
"Mega Gardevoir","Confusion","Return","19.973","711.9","48.8","5162"
"Mega Gallade","Confusion","Return","19.969","714.7","48.84","5173"
"Shadow Swampert","Mud Shot","Hydro Cannon","19.969","602.4","46.8","3402"
"Shadow Latios","Zen Headbutt","Dragon Claw","19.966","614.7","47.03","4362"
"Mega Gengar","Shadow Claw","Shadow Punch","19.963","576.6","46.28","4960"
"Mega Manectric","Snarl","Wild Charge","19.954","574.7","46.23","4096"
"Shadow Darmanitan","Fire Fang","Rock Slide","19.952","422.3","42.79","3552"
"Shadow Entei","Fire Spin","Overheat","19.949","653","47.72","3973"
"Shadow Gallade","Confusion","Psychic","19.946","509.9","44.85","3539"
"Shadow Gardevoir","Confusion","Psychic","19.946","509.9","44.85","3539"
"Mega Gengar","Hex","Psychic","19.94","575.9","46.22","4960"
"Mega Alakazam","Confusion","Fire Punch","19.934","565.7","46.01","5160"
"Shadow Dragonite","Steel Wing","Draco Meteor","19.928","629.1","47.24","4338"
"Shadow Cacturne","Sucker Punch","Grass Knot","19.923","320.4","39.9","2629"
"Shadow Ho-Oh","Incinerate","Brave Bird","19.915","781.5","49.84","4420"
"Rayquaza","Dragon Tail","Outrage","19.913","666.8","47.9","4387"
"Mega Garchomp","Dragon Tail","Fire Blast","19.911","951.6","52.35","6206"
"Shadow Staraptor","Sand Attack","Brave Bird","19.91","434.9","43.04","3232"
"Primal Groudon","Mud Shot","Solar Beam","19.907","1042.2","53.55","6752"
"Shadow Mewtwo","Psycho Cut","Ice Beam","19.893","593.7","46.5","4780"
"Zekrom","Dragon Breath","Fusion Bolt","19.888","785.1","49.85","4620"
"Mega Charizard Y","Fire Spin","Return","19.887","720.4","48.79","5097"
"Mega Charizard Y","Fire Spin","Fire Blast","19.877","720","48.76","5097"
"Primal Groudon","Mud Shot","Fire Punch","19.854","1039.4","53.4","6752"
"Shadow Excadrill","Metal Claw","Iron Head","19.85","486","44.16","3711"
"Mega Banette","Shadow Claw","Return","19.841","487.9","44.18","4112"
"Lucario","Counter","Aura Sphere","19.839","468.3","43.73","3092"
"Shadow Weavile","Ice Shard","Avalanche","19.838","456.5","43.45","3438"
"Mega Gardevoir","Charge Beam","Dazzling Gleam","19.829","706.8","48.45","5162"
"Shadow Dragonite","Dragon Tail","Hyper Beam","19.824","625.8","46.99","4338"
"Yveltal","Snarl","Oblivion Wing","19.82","821.4","50.29","4326"
"Mega Lucario","Counter","Blaze Kick","19.811","558.8","45.66","4377"
"Mega Gardevoir","Charm","Return","19.81","706.1","48.4","5162"
"Mega Tyranitar","Iron Tail","Brutal Swing","19.806","1098.2","54.05","6118"
"Mega Houndoom","Fire Fang","Foul Play","19.805","644.1","47.3","4396"
"Shadow Salamence","Dragon Tail","Fire Blast","19.795","553.6","45.52","4289"
"Shadow Blaziken","Counter","Focus Blast","19.794","418.8","42.45","3258"
"Zacian - Crowned Sword","Metal Claw","Play Rough","19.786","829.2","50.34","5089"
"Hoopa (Unbound)","Confusion","Shadow Ball","19.778","608.1","46.57","4584"
"Mega Gallade","Confusion","Leaf Blade","19.777","707.8","48.37","5173"
"Landorus (Therian Forme)","Mud Shot","Sandsear Storm","19.775","670.1","47.71","4487"
"Deoxys (Normal Forme)","Zen Headbutt","Thunderbolt","19.773","310.2","39.35","3615"
"Shadow Latios","Zen Headbutt","Luster Purge","19.772","608.7","46.57","4362"
"Shadow Alolan Exeggutor","Dragon Tail","Solar Beam","19.77","507.6","44.5","3448"
"Shadow Groudon","Dragon Tail","Earthquake","19.759","698.9","48.19","4708"
"Mega Charizard Y","Wing Attack","Flamethrower","19.752","715.5","48.46","5097"
"Mega Metagross","Bullet Punch","Psychic","19.735","976.5","52.34","5618"
"Mega Sceptile","Fury Cutter","Breaking Swipe","19.73","588.8","46.11","4640"
"Mega Lucario","Counter","Close Combat","19.72","556.3","45.45","4377"
"Tapu Lele","Confusion","Nature's Madness","19.711","652.6","47.28","3998"
"Mega Salamence","Fire Fang","Draco Meteor","19.706","961.3","52.08","5756"
"Shadow Ursaluna","Tackle","High Horsepower","19.702","746","48.87","4410"
"Mega Houndoom","Snarl","Foul Play","19.683","640.1","47","4396"
"Shadow Hariyama","Counter","Dynamic Punch","19.683","532.5","44.89","3236"
"Mega Pidgeot","Wing Attack","Brave Bird","19.677","623.3","46.68","4210"
"Mega Charizard X","Dragon Breath","Blast Burn","19.673","715.8","48.32","4405"
"Shadow Latios","Dragon Breath","Solar Beam","19.669","605.6","46.33","4362"
"Shadow Dragonite","Dragon Breath","Dragon Pulse","19.661","620.6","46.6","4338"
"Shadow Alakazam","Confusion","Dazzling Gleam","19.659","381.1","41.25","3498"
"Shadow Charizard","Air Slash","Blast Burn","19.656","491.4","43.95","3305"
"Shadow Gallade","Psycho Cut","Psychic","19.654","502.4","44.19","3539"
"Shadow Alakazam","Counter","Future Sight","19.653","381","41.24","3498"
"Mega Gengar","Shadow Claw","Dark Pulse","19.65","567.6","45.55","4960"
"Shadow Groudon","Mud Shot","Earthquake","19.648","694.9","47.91","4708"
"Dragapult","Dragon Tail","Shadow Ball","19.645","631.9","46.78","4041"
"Shadow Honchkrow","Snarl","Dark Pulse","19.645","368.1","40.87","3102"
"Mega Gallade","Confusion","Close Combat","19.642","703","48.04","5173"
"Mega Salamence","Dragon Tail","Return","19.639","958.1","51.9","5756"
"Shadow Gardevoir","Charm","Psychic","19.63","501.8","44.14","3539"
"Shadow Charizard","Ember","Blast Burn","19.629","490.7","43.89","3305"
"Shadow Typhlosion","Ember","Blast Burn","19.629","490.7","43.89","3305"
"Primal Kyogre","Waterfall","Thunder","19.621","1027.2","52.78","6752"
"Shadow Haunter","Shadow Claw","Sludge Bomb","19.621","226.5","36.17","2246"
"Shadow Magnezone","Charge Beam","Wild Charge","19.617","534","44.81","3666"
"Shadow Feraligatr","Water Gun","Hydro Cannon","19.614","561.1","45.36","3268"
"Chandelure","Fire Spin","Shadow Ball","19.609","521.4","44.53","3739"
"Shadow Manectric","Thunder Fang","Wild Charge","19.606","344.4","40.14","2678"
"Rampardos","Smack Down","Rock Slide","19.598","451.5","42.94","3773"
"Shadow Dragonite","Steel Wing","Dragon Claw","19.591","618.4","46.44","4338"
"Mega Diancie","Tackle","Rock Slide","19.59","591","45.91","4972"
"Shadow Gengar","Lick","Psychic","19.589","361.3","40.6","3292"
"Pheromosa","Low Kick","Focus Blast","19.578","293.8","38.53","3251"
"Shadow Excadrill","Mud Shot","Drill Run","19.578","479.4","43.55","3711"
"Shadow Empoleon","Waterfall","Hydro Cannon","19.574","551.8","45.1","3318"
"Reshiram","Dragon Breath","Fusion Flare","19.572","772.6","49.06","4620"
"Shadow Unfezant","Air Slash","Sky Attack","19.572","427.4","42.31","3128"
"Mega Blaziken","Counter","Stone Edge","19.567","582.8","45.71","4760"
"Mega Sceptile","Fury Cutter","Dragon Claw","19.562","583.8","45.72","4640"
"Shadow Dragonite","Dragon Breath","Hurricane","19.561","617.5","46.37","4338"
"Shadow Haunter","Lick","Sludge Bomb","19.558","225.7","36.05","2246"
"Palkia (Origin Forme)","Dragon Tail","Draco Meteor","19.556","753.8","48.73","4739"
"Mega Absol","Snarl","Payback","19.545","400.5","41.58","3776"
"Shadow Exeggutor","Confusion","Solar Beam","19.535","489.6","43.71","3449"
"Shadow Zapdos","Charge Beam","Thunderbolt","19.534","573.8","45.48","4035"
"Shadow Porygon-Z","Lock-On","Hyper Beam","19.524","454","42.87","3737"
"Shadow Typhlosion","Shadow Claw","Blast Burn","19.522","488.1","43.65","3305"
"Shadow Gigalith","Smack Down","Meteor Beam","19.519","594.1","45.85","3693"
"Shadow Chandelure","Hex","Poltergeist","19.517","432.4","42.34","3739"
"Shadow Ursaluna","Tackle","Return","19.514","738.9","48.41","4410"
"Shadow Cacturne","Sand Attack","Grass Knot","19.511","313.8","39.07","2629"
"Pheromosa","Bug Bite","Close Combat","19.507","292.7","38.39","3251"
"Shadow Sneasler","Poison Jab","Close Combat","19.506","457.7","42.93","3686"
"Shadow Weavile","Feint Attack","Foul Play","19.494","448.6","42.7","3438"
"Mega Gardevoir","Confusion","Triple Axel","19.481","694.4","47.6","5162"
"Mega Gengar","Sucker Punch","Psychic","19.481","562.7","45.16","4960"
"Mega Charizard Y","Air Slash","Flamethrower","19.475","705.5","47.78","5097"
"Shadow Entei","Fire Fang","Flamethrower","19.475","637.5","46.58","3973"
"Mega Gardevoir","Magical Leaf","Shadow Ball","19.474","694.1","47.58","5162"
"Salamence","Dragon Tail","Outrage","19.474","653.6","46.87","4289"
"Shadow Gardevoir","Confusion","Dazzling Gleam","19.472","497.8","43.78","3539"
"Shadow Alolan Exeggutor","Dragon Tail","Draco Meteor","19.466","499.8","43.82","3448"
"Shadow Blaziken","Fire Spin","Brave Bird","19.452","411.6","41.72","3258"
"Keldeo","Low Kick","Sacred Sword","19.447","715.9","47.9","4231"
"Shadow Exeggutor","Extrasensory","Solar Beam","19.446","487.4","43.51","3449"
"Mega Charizard Y","Dragon Breath","Overheat","19.445","704.4","47.7","5097"
"Rayquaza","Dragon Tail","Breaking Swipe","19.438","651","46.76","4387"
"Shadow Luxray","Hidden Power (Electric)","Wild Charge","19.428","450.6","42.64","3304"
"Mega Gardevoir","Charm","Triple Axel","19.423","692.3","47.46","5162"
"Shadow Infernape","Rock Smash","Blast Burn","19.423","422.4","41.94","3070"
"Mega Salamence","Bite","Outrage","19.417","947.2","51.32","5756"
"Shadow Blaziken","Counter","Return","19.416","410.8","41.64","3258"
"Shadow Ho-Oh","Incinerate","Sacred Fire+","19.413","761.8","48.59","4420"
"Shadow Banette","Hex","Shadow Ball","19.388","320.1","39.08","2630"
"Shadow Exeggutor","Zen Headbutt","Psychic","19.388","485.9","43.38","3449"
"Shadow Honchkrow","Snarl","Psychic","19.384","363.2","40.33","3102"
"Shadow Weavile","Ice Shard","Triple Axel","19.379","445.9","42.44","3438"
"Mega Manectric","Charge Beam","Wild Charge","19.378","558.1","44.89","4096"
"Mega Rayquaza","Dragon Tail","Ancient Power","19.372","837.5","49.67","6535"
"Haxorus","Dragon Tail","Breaking Swipe","19.37","569.4","45.1","4110"
"Shadow Porygon-Z","Lock-On","Tri-Attack","19.369","450.4","42.53","3737"
"Zacian - Crowned Sword","Snarl","Play Rough","19.366","811.6","49.27","5089"
"Shadow Absol","Snarl","Dark Pulse","19.355","307.7","38.65","2890"
"Mega Lucario","Counter","Power-Up Punch","19.35","545.8","44.59","4377"
"Reshiram","Fire Fang","Overheat","19.343","763.6","48.49","4620"
"Shadow Raikou","Thunder Shock","Thunderbolt","19.327","596.1","45.55","3949"
"Shadow Sharpedo","Bite","Hydro Pump","19.323","234.3","36.06","2495"
"Gengar","Lick","Shadow Ball","19.299","427.2","41.86","3292"
"Hoopa (Unbound)","Confusion","Dark Pulse","19.297","593.3","45.44","4584"
"Mega Metagross","Zen Headbutt","Psychic","19.296","954.7","51.18","5618"
"Shadow Blaziken","Fire Spin","Focus Blast","19.296","408.3","41.38","3258"
"Landorus (Therian Forme)","Extrasensory","Sandsear Storm","19.291","653.7","46.54","4487"
"Shadow Garchomp","Mud Shot","Earthquake","19.285","674.1","46.89","4532"
"Ash Greninja","Feint Attack","Night Slash","19.284","497.1","43.45","4557"
"Mewtwo","Confusion","Shadow Ball","19.275","690.3","47.15","4780"
"Shadow Rampardos","Zen Headbutt","Flamethrower","19.272","370","40.34","3773"
"Zekrom","Charge Beam","Fusion Bolt","19.269","760.6","48.3","4620"
"Honchkrow","Snarl","Sky Attack","19.264","433.1","41.95","3102"
"Yveltal","Gust","Oblivion Wing","19.259","798.1","48.86","4326"
"Shadow Houndoom","Fire Fang","Foul Play","19.258","397.1","41.04","3014"
"Shadow Toxicroak","Counter","Dynamic Punch","19.258","396","41.01","2846"
"Mega Latios","Zen Headbutt","Solar Beam","19.248","802","48.9","5729"
"Shadow Gallade","Low Kick","Psychic","19.241","491.9","43.26","3539"
"Terrakion","Smack Down","Sacred Sword","19.238","708.2","47.39","4231"
"Shadow Gardevoir","Charm","Dazzling Gleam","19.237","491.8","43.26","3539"
"Mega Houndoom","Fire Fang","Flamethrower","19.235","625.6","45.94","4396"
"Galarian Darmanitan (Zen Mode)","Ice Fang","Ice Punch","19.232","522.6","43.91","4467"
"Mega Heracross","Struggle Bug","Megahorn","19.23","744.9","47.97","5508"
"Regigigas","Zen Headbutt","Giga Impact","19.23","810.7","49","4972"
"Gengar","Shadow Claw","Shadow Ball","19.224","425.5","41.7","3292"
"Mega Gallade","Charm","Synchronoise","19.22","687.9","47.01","5173"
"Mega Charizard X","Ember","Blast Burn","19.218","699.2","47.2","4405"
"Shadow Lugia","Extrasensory","Aeroblast+","19.213","1032.8","52.02","4236"
"Shadow Unfezant","Steel Wing","Sky Attack","19.212","419.5","41.53","3128"
"Lucario","Bullet Punch","Aura Sphere","19.211","453.5","42.34","3092"
"Shadow Kyogre","Waterfall","Blizzard","19.211","679.5","46.85","4708"
"Shadow Moltres","Fire Spin","Fire Blast","19.2","552.7","44.47","3964"
"Salamence","Dragon Tail","Draco Meteor","19.198","644.3","46.21","4289"
"Shadow Rhyperior","Mud Slap","Earthquake","19.189","692.3","47.03","4271"
"Palkia","Dragon Tail","Draco Meteor","19.183","714.6","47.39","4565"
"Reshiram","Fire Fang","Draco Meteor","19.182","757.2","48.08","4620"
"Metagross","Bullet Punch","Meteor Mash","19.172","758.2","48.08","4337"
"Shadow Darmanitan","Incinerate","Rock Slide","19.168","405.7","41.11","3552"
"Hoopa (Unbound)","Astonish","Psychic","19.165","589.3","45.13","4584"
"Shadow Gardevoir","Magical Leaf","Psychic","19.164","489.9","43.09","3539"
"Mega Latias","Dragon Breath","Psychic","19.159","972.9","51.15","5493"
"Shaymin (Sky Forme)","Magical Leaf","Grass Knot","19.158","660.7","46.43","4110"
"Shadow Excadrill","Mud Shot","Earthquake","19.156","469","42.61","3711"
"Shadow Machamp","Bullet Punch","Dynamic Punch","19.154","489.5","43.07","3496"
"Mega Lucario","Bullet Punch","Shadow Ball","19.15","540.2","44.13","4377"
"Thundurus (Therian Forme)","Volt Switch","Thunderbolt","19.136","542.8","44.16","4186"
"Shadow Feraligatr","Waterfall","Hydro Cannon","19.133","547.3","44.25","3268"
"Shadow Zapdos","Thunder Shock","Zap Cannon","19.13","561.9","44.54","4035"
"Zekrom","Dragon Breath","Wild Charge","19.128","755.1","47.95","4620"
"Mega Charizard Y","Ember","Flamethrower","19.12","692.6","46.91","5097"
"Shadow Crawdaunt","Snarl","Razor Shell","19.111","347.4","39.46","2830"
"Shadow Houndoom","Snarl","Foul Play","19.11","394","40.72","3014"
"Shadow Ho-Oh","Extrasensory","Brave Bird","19.109","749.8","47.83","4420"
"Xurkitree","Thunder Shock","Dazzling Gleam","19.109","506.6","43.36","4504"
"Mega Beedrill","Poison Jab","Return","19.107","440.1","41.86","3870"
"Shadow Gengar","Shadow Claw","Sludge Wave","19.106","352.4","39.6","3292"
"Shadow Dragonite","Dragon Tail","Superpower","19.105","603.1","45.29","4338"
"White Kyurem","Dragon Breath","Dragon Pulse","19.104","780.8","48.3","5268"
"Shadow Entei","Fire Spin","Flamethrower","19.099","625.2","45.68","3973"
"Chandelure","Incinerate","Shadow Ball","19.097","507.8","43.36","3739"
"Thundurus (Therian Forme)","Bite","Wildbolt Storm","19.093","541.6","44.06","4186"
"Mega Gengar","Lick","Shadow Punch","19.092","551.4","44.26","4960"
"Shadow Alakazam","Confusion","Focus Blast","19.089","370.1","40.05","3498"
"Shadow Charizard","Dragon Breath","Blast Burn","19.089","477.2","42.69","3305"
"Mega Beedrill","Poison Jab","X-Scissor","19.084","439.6","41.81","3870"
"Mega Lucario","Counter","Flash Cannon","19.083","538.3","43.98","4377"
"Shadow Haunter","Astonish","Shadow Ball","19.083","220.3","35.17","2246"
"Mega Alakazam","Counter","Fire Punch","19.071","541.2","44.02","5160"
"Shadow Gallade","Confusion","Synchronoise","19.071","487.5","42.88","3539"
"Shadow Gardevoir","Confusion","Synchronoise","19.071","487.5","42.88","3539"
"Shadow Gengar","Shadow Claw","Focus Blast","19.069","351.7","39.52","3292"
"Mega Diancie","Tackle","Power Gem","19.062","575.1","44.67","4972"
"Mega Latias","Dragon Breath","Outrage","19.061","967.9","50.88","5493"
